ID_Venta,Fecha,ID_Cliente,Región_Cliente,ID_Producto,Cantidad,Método_Pago,Método_Pago_Nombre,Estado,Nombre_Producto,Precio_Unitario,Categoría,Total_Venta,Mes,Nro de Mes,Mes_Año,Cat_MetodoPago,Año
2873,5/2/2024,230,Centro,13,2,2,Tarjeta de Crédito,Completa,Pan integral,$12.56,Panadería,$25.12,febrero,2,lunes-02,Panadería - Tarjeta de Crédito,2024
484,6/2/2024,168,Centro,35,1,2,Tarjeta de Crédito,Completa,Arroz,$4.25,Conservas,$4.25,febrero,2,martes-02,Conservas - Tarjeta de Crédito,2024
593,6/2/2024,258,Centro,11,4,5,Transferencia,Completa,Salchicha,$11.23,Carnicería,$44.92,febrero,2,martes-02,Carnicería - Transferencia,2024
809,6/2/2024,159,NEA,19,6,5,Transferencia,Pendiente,Tomates,$6.54,Frutas y Verduras,$39.24,febrero,2,martes-02,Frutas y Verduras - Transferencia,2024
1656,6/2/2024,283,Buenos Aires,1,3,4,Mercado Pago,Completa,Leche,$12.24,Lácteos,$36.72,febrero,2,martes-02,Lácteos - Mercado Pago,2024
1735,6/2/2024,130,Buenos Aires,8,6,5,Transferencia,Completa,Milanesa,$16.21,Carnicería,$97.26,febrero,2,martes-02,Carnicería - Transferencia,2024
2126,6/2/2024,181,Patagonia,3,3,4,Mercado Pago,Pendiente,Queso cremoso,$17.23,Lácteos,$51.69,febrero,2,martes-02,Lácteos - Mercado Pago,2024
2540,6/2/2024,75,NEA,28,6,1,Efectivo,Pendiente,Jugos de frutas,$9.45,Bebidas,$56.70,febrero,2,martes-02,Bebidas - Efectivo,2024
2680,6/2/2024,155,Cuyo,18,2,4,Mercado Pago,Completa,Bananas,$7.25,Frutas y Verduras,$14.50,febrero,2,martes-02,Frutas y Verduras - Mercado Pago,2024
116,7/2/2024,71,Buenos Aires,35,4,3,Tarjeta de Débito,Completa,Arroz,$4.25,Conservas,$17.00,febrero,2,miércoles-02,Conservas - Tarjeta de Débito,2024
215,7/2/2024,64,NEA,31,2,4,Mercado Pago,Pendiente,Galletitas de agua,$5.24,Galletitas y Snacks,$10.48,febrero,2,miércoles-02,Galletitas y Snacks - Mercado Pago,2024
441,7/2/2024,21,Buenos Aires,7,6,3,Tarjeta de Débito,Completa,Chorizo,$11.25,Carnicería,$67.50,febrero,2,miércoles-02,Carnicería - Tarjeta de Débito,2024
471,7/2/2024,108,Patagonia,12,6,5,Transferencia,Pendiente,Pan francés,$8.12,Panadería,$48.72,febrero,2,miércoles-02,Panadería - Transferencia,2024
1136,7/2/2024,187,Buenos Aires,23,3,3,Tarjeta de Débito,Completa,Papas fritas,$8.23,Congelados,$24.69,febrero,2,miércoles-02,Congelados - Tarjeta de Débito,2024
1753,7/2/2024,35,NOA,17,2,4,Mercado Pago,Pendiente,Manzanas,$6.54,Frutas y Verduras,$13.08,febrero,2,miércoles-02,Frutas y Verduras - Mercado Pago,2024
2127,7/2/2024,180,Buenos Aires,6,3,3,Tarjeta de Débito,Completa,Asado,$28.56,Carnicería,$85.68,febrero,2,miércoles-02,Carnicería - Tarjeta de Débito,2024
2209,7/2/2024,151,Buenos Aires,3,2,1,Efectivo,Completa,Queso cremoso,$17.23,Lácteos,$34.46,febrero,2,miércoles-02,Lácteos - Efectivo,2024
2935,7/2/2024,164,Centro,25,3,4,Mercado Pago,Completa,Pizza congelada,$15.45,Congelados,$46.35,febrero,2,miércoles-02,Congelados - Mercado Pago,2024
734,8/2/2024,212,Buenos Aires,36,5,2,Tarjeta de Crédito,Completa,Lentejas,$3.25,Conservas,$16.25,febrero,2,jueves-02,Conservas - Tarjeta de Crédito,2024
2043,8/2/2024,318,Buenos Aires,27,2,5,Transferencia,Completa,Agua mineral,$6.21,Bebidas,$12.42,febrero,2,jueves-02,Bebidas - Transferencia,2024
2335,8/2/2024,56,Centro,38,2,5,Transferencia,Completa,Atún enlatado,$6.21,Conservas,$12.42,febrero,2,jueves-02,Conservas - Transferencia,2024
2770,8/2/2024,295,Cuyo,34,4,2,Tarjeta de Crédito,Completa,Maníes,$5.45,Galletitas y Snacks,$21.80,febrero,2,jueves-02,Galletitas y Snacks - Tarjeta de Crédito,2024
226,9/2/2024,3,Patagonia,11,4,1,Efectivo,Completa,Salchicha,$11.23,Carnicería,$44.92,febrero,2,viernes-02,Carnicería - Efectivo,2024
1044,9/2/2024,69,Cuyo,29,1,5,Transferencia,Completa,Cerveza,$11.54,Bebidas,$11.54,febrero,2,viernes-02,Bebidas - Transferencia,2024
1162,9/2/2024,104,Buenos Aires,17,2,3,Tarjeta de Débito,Completa,Manzanas,$6.54,Frutas y Verduras,$13.08,febrero,2,viernes-02,Frutas y Verduras - Tarjeta de Débito,2024
1725,9/2/2024,293,Patagonia,25,6,4,Mercado Pago,Completa,Pizza congelada,$15.45,Congelados,$92.70,febrero,2,viernes-02,Congelados - Mercado Pago,2024
1878,9/2/2024,214,Patagonia,17,3,4,Mercado Pago,Completa,Manzanas,$6.54,Frutas y Verduras,$19.62,febrero,2,viernes-02,Frutas y Verduras - Mercado Pago,2024
2480,9/2/2024,278,Centro,22,1,1,Efectivo,Completa,Cebolla,$4.21,Frutas y Verduras,$4.21,febrero,2,viernes-02,Frutas y Verduras - Efectivo,2024
2610,9/2/2024,78,Buenos Aires,1,6,4,Mercado Pago,Completa,Leche,$12.24,Lácteos,$73.44,febrero,2,viernes-02,Lácteos - Mercado Pago,2024
2947,9/2/2024,28,NEA,6,5,4,Mercado Pago,Pendiente,Asado,$28.56,Carnicería,$142.80,febrero,2,viernes-02,Carnicería - Mercado Pago,2024
117,10/2/2024,288,Buenos Aires,10,3,2,Tarjeta de Crédito,Pendiente,Costilla de cerdo,$14.25,Carnicería,$42.75,febrero,2,sábado-02,Carnicería - Tarjeta de Crédito,2024
1102,10/2/2024,59,Centro,29,4,3,Tarjeta de Débito,Completa,Cerveza,$11.54,Bebidas,$46.16,febrero,2,sábado-02,Bebidas - Tarjeta de Débito,2024
1217,10/2/2024,144,NEA,22,2,4,Mercado Pago,Completa,Cebolla,$4.21,Frutas y Verduras,$8.42,febrero,2,sábado-02,Frutas y Verduras - Mercado Pago,2024
1363,10/2/2024,314,Patagonia,28,3,3,Tarjeta de Débito,Pendiente,Jugos de frutas,$9.45,Bebidas,$28.35,febrero,2,sábado-02,Bebidas - Tarjeta de Débito,2024
1600,10/2/2024,230,Centro,24,6,3,Tarjeta de Débito,Completa,Empanadas,$13.54,Congelados,$81.24,febrero,2,sábado-02,Congelados - Tarjeta de Débito,2024
2719,10/2/2024,57,Centro,16,1,4,Mercado Pago,Completa,Tortas,$15.23,Panadería,$15.23,febrero,2,sábado-02,Panadería - Mercado Pago,2024
621,11/2/2024,166,NEA,3,3,3,Tarjeta de Débito,Completa,Queso cremoso,$17.23,Lácteos,$51.69,febrero,2,domingo-02,Lácteos - Tarjeta de Débito,2024
995,11/2/2024,224,Cuyo,13,5,5,Transferencia,Completa,Pan integral,$12.56,Panadería,$62.80,febrero,2,domingo-02,Panadería - Transferencia,2024
1218,11/2/2024,34,Cuyo,29,1,2,Tarjeta de Crédito,Completa,Cerveza,$11.54,Bebidas,$11.54,febrero,2,domingo-02,Bebidas - Tarjeta de Crédito,2024
1362,11/2/2024,120,Buenos Aires,19,2,5,Transferencia,Pendiente,Tomates,$6.54,Frutas y Verduras,$13.08,febrero,2,domingo-02,Frutas y Verduras - Transferencia,2024
1651,11/2/2024,85,Cuyo,13,6,4,Mercado Pago,Completa,Pan integral,$12.56,Panadería,$75.36,febrero,2,domingo-02,Panadería - Mercado Pago,2024
1680,11/2/2024,241,Buenos Aires,28,3,3,Tarjeta de Débito,Completa,Jugos de frutas,$9.45,Bebidas,$28.35,febrero,2,domingo-02,Bebidas - Tarjeta de Débito,2024
1754,11/2/2024,212,Buenos Aires,27,3,5,Transferencia,Completa,Agua mineral,$6.21,Bebidas,$18.63,febrero,2,domingo-02,Bebidas - Transferencia,2024
1934,11/2/2024,69,Cuyo,27,1,2,Tarjeta de Crédito,Completa,Agua mineral,$6.21,Bebidas,$6.21,febrero,2,domingo-02,Bebidas - Tarjeta de Crédito,2024
2534,11/2/2024,250,Centro,11,1,5,Transferencia,Completa,Salchicha,$11.23,Carnicería,$11.23,febrero,2,domingo-02,Carnicería - Transferencia,2024
2642,11/2/2024,54,Buenos Aires,37,5,4,Mercado Pago,Completa,Garbanzos,$3.65,Conservas,$18.25,febrero,2,domingo-02,Conservas - Mercado Pago,2024
2703,11/2/2024,255,Buenos Aires,29,3,1,Efectivo,Pendiente,Cerveza,$11.54,Bebidas,$34.62,febrero,2,domingo-02,Bebidas - Efectivo,2024
2874,11/2/2024,87,Patagonia,19,4,5,Transferencia,Completa,Tomates,$6.54,Frutas y Verduras,$26.16,febrero,2,domingo-02,Frutas y Verduras - Transferencia,2024
2933,11/2/2024,307,Cuyo,37,4,5,Transferencia,Completa,Garbanzos,$3.65,Conservas,$14.60,febrero,2,domingo-02,Conservas - Transferencia,2024
29,12/2/2024,205,Patagonia,38,2,3,Tarjeta de Débito,Completa,Atún enlatado,$6.21,Conservas,$12.42,febrero,2,lunes-02,Conservas - Tarjeta de Débito,2024
237,12/2/2024,182,Centro,21,4,1,Efectivo,Completa,Zanahorias,$3.25,Frutas y Verduras,$13.00,febrero,2,lunes-02,Frutas y Verduras - Efectivo,2024
488,12/2/2024,47,Buenos Aires,14,2,5,Transferencia,Completa,Facturas,$12.36,Panadería,$24.72,febrero,2,lunes-02,Panadería - Transferencia,2024
1168,12/2/2024,286,Centro,4,4,5,Transferencia,Completa,Queso rallado,$19.23,Lácteos,$76.92,febrero,2,lunes-02,Lácteos - Transferencia,2024
1540,12/2/2024,273,Cuyo,14,6,3,Tarjeta de Débito,Completa,Facturas,$12.36,Panadería,$74.16,febrero,2,lunes-02,Panadería - Tarjeta de Débito,2024
2007,12/2/2024,288,Buenos Aires,14,2,4,Mercado Pago,Completa,Facturas,$12.36,Panadería,$24.72,febrero,2,lunes-02,Panadería - Mercado Pago,2024
2236,12/2/2024,295,Cuyo,18,4,5,Transferencia,Completa,Bananas,$7.25,Frutas y Verduras,$29.00,febrero,2,lunes-02,Frutas y Verduras - Transferencia,2024
8,13/2/2024,214,Patagonia,38,4,4,Mercado Pago,Completa,Atún enlatado,$6.21,Conservas,$24.84,febrero,2,martes-02,Conservas - Mercado Pago,2024
14,13/2/2024,171,Cuyo,22,4,3,Tarjeta de Débito,Completa,Cebolla,$4.21,Frutas y Verduras,$16.84,febrero,2,martes-02,Frutas y Verduras - Tarjeta de Débito,2024
459,13/2/2024,128,Buenos Aires,24,4,3,Tarjeta de Débito,Completa,Empanadas,$13.54,Congelados,$54.16,febrero,2,martes-02,Congelados - Tarjeta de Débito,2024
681,13/2/2024,14,Buenos Aires,29,3,3,Tarjeta de Débito,Completa,Cerveza,$11.54,Bebidas,$34.62,febrero,2,martes-02,Bebidas - Tarjeta de Débito,2024
821,13/2/2024,43,Patagonia,1,3,5,Transferencia,Pendiente,Leche,$12.24,Lácteos,$36.72,febrero,2,martes-02,Lácteos - Transferencia,2024
908,13/2/2024,141,NEA,11,4,4,Mercado Pago,Pendiente,Salchicha,$11.23,Carnicería,$44.92,febrero,2,martes-02,Carnicería - Mercado Pago,2024
1826,13/2/2024,300,NEA,20,1,1,Efectivo,Completa,Lechugas,$4.25,Frutas y Verduras,$4.25,febrero,2,martes-02,Frutas y Verduras - Efectivo,2024
2355,13/2/2024,150,Buenos Aires,35,2,5,Transferencia,Completa,Arroz,$4.25,Conservas,$8.50,febrero,2,martes-02,Conservas - Transferencia,2024
2555,13/2/2024,130,Buenos Aires,33,3,5,Transferencia,Completa,Papas chips,$8.54,Galletitas y Snacks,$25.62,febrero,2,martes-02,Galletitas y Snacks - Transferencia,2024
2572,13/2/2024,258,Centro,26,4,1,Efectivo,Completa,Hamburgesas congeladas,$9.54,Congelados,$38.16,febrero,2,martes-02,Congelados - Efectivo,2024
2687,13/2/2024,73,Centro,29,4,5,Transferencia,Completa,Cerveza,$11.54,Bebidas,$46.16,febrero,2,martes-02,Bebidas - Transferencia,2024
2709,13/2/2024,304,Cuyo,12,2,1,Efectivo,Pendiente,Pan francés,$8.12,Panadería,$16.24,febrero,2,martes-02,Panadería - Efectivo,2024
1271,14/2/2024,190,NEA,27,5,3,Tarjeta de Débito,Completa,Agua mineral,$6.21,Bebidas,$31.05,febrero,2,miércoles-02,Bebidas - Tarjeta de Débito,2024
1975,14/2/2024,118,Centro,4,6,5,Transferencia,Completa,Queso rallado,$19.23,Lácteos,$115.38,febrero,2,miércoles-02,Lácteos - Transferencia,2024
2076,14/2/2024,5,Centro,1,1,4,Mercado Pago,Completa,Leche,$12.24,Lácteos,$12.24,febrero,2,miércoles-02,Lácteos - Mercado Pago,2024
2559,14/2/2024,87,Patagonia,15,6,1,Efectivo,Pendiente,Medialunas,$3.51,Panadería,$21.06,febrero,2,miércoles-02,Panadería - Efectivo,2024
2763,14/2/2024,273,Cuyo,21,5,5,Transferencia,Completa,Zanahorias,$3.25,Frutas y Verduras,$16.25,febrero,2,miércoles-02,Frutas y Verduras - Transferencia,2024
2801,14/2/2024,105,Buenos Aires,17,5,3,Tarjeta de Débito,Completa,Manzanas,$6.54,Frutas y Verduras,$32.70,febrero,2,miércoles-02,Frutas y Verduras - Tarjeta de Débito,2024
34,15/2/2024,325,NEA,35,5,2,Tarjeta de Crédito,Completa,Arroz,$4.25,Conservas,$21.25,febrero,2,jueves-02,Conservas - Tarjeta de Crédito,2024
294,15/2/2024,85,Cuyo,24,3,2,Tarjeta de Crédito,Completa,Empanadas,$13.54,Congelados,$40.62,febrero,2,jueves-02,Congelados - Tarjeta de Crédito,2024
627,15/2/2024,312,Cuyo,24,6,5,Transferencia,Completa,Empanadas,$13.54,Congelados,$81.24,febrero,2,jueves-02,Congelados - Transferencia,2024
696,15/2/2024,76,Centro,13,3,1,Efectivo,Completa,Pan integral,$12.56,Panadería,$37.68,febrero,2,jueves-02,Panadería - Efectivo,2024
938,15/2/2024,204,Patagonia,1,1,4,Mercado Pago,Completa,Leche,$12.24,Lácteos,$12.24,febrero,2,jueves-02,Lácteos - Mercado Pago,2024
1700,15/2/2024,158,Buenos Aires,33,4,4,Mercado Pago,Completa,Papas chips,$8.54,Galletitas y Snacks,$34.16,febrero,2,jueves-02,Galletitas y Snacks - Mercado Pago,2024
1928,15/2/2024,310,Patagonia,35,1,1,Efectivo,Completa,Arroz,$4.25,Conservas,$4.25,febrero,2,jueves-02,Conservas - Efectivo,2024
2214,15/2/2024,187,Buenos Aires,7,5,5,Transferencia,Completa,Chorizo,$11.25,Carnicería,$56.25,febrero,2,jueves-02,Carnicería - Transferencia,2024
2238,15/2/2024,231,Patagonia,12,3,4,Mercado Pago,Completa,Pan francés,$8.12,Panadería,$24.36,febrero,2,jueves-02,Panadería - Mercado Pago,2024
2481,15/2/2024,166,NEA,4,2,5,Transferencia,Pendiente,Queso rallado,$19.23,Lácteos,$38.46,febrero,2,jueves-02,Lácteos - Transferencia,2024
2604,15/2/2024,319,Patagonia,23,1,5,Transferencia,Completa,Papas fritas,$8.23,Congelados,$8.23,febrero,2,jueves-02,Congelados - Transferencia,2024
481,16/2/2024,109,Cuyo,19,3,3,Tarjeta de Débito,Completa,Tomates,$6.54,Frutas y Verduras,$19.62,febrero,2,viernes-02,Frutas y Verduras - Tarjeta de Débito,2024
641,16/2/2024,184,Buenos Aires,17,5,5,Transferencia,Completa,Manzanas,$6.54,Frutas y Verduras,$32.70,febrero,2,viernes-02,Frutas y Verduras - Transferencia,2024
735,16/2/2024,183,Patagonia,20,2,1,Efectivo,Completa,Lechugas,$4.25,Frutas y Verduras,$8.50,febrero,2,viernes-02,Frutas y Verduras - Efectivo,2024
779,16/2/2024,252,Patagonia,14,2,3,Tarjeta de Débito,Completa,Facturas,$12.36,Panadería,$24.72,febrero,2,viernes-02,Panadería - Tarjeta de Débito,2024
1174,16/2/2024,286,Centro,14,1,1,Efectivo,Completa,Facturas,$12.36,Panadería,$12.36,febrero,2,viernes-02,Panadería - Efectivo,2024
1253,16/2/2024,50,Buenos Aires,13,1,2,Tarjeta de Crédito,Completa,Pan integral,$12.56,Panadería,$12.56,febrero,2,viernes-02,Panadería - Tarjeta de Crédito,2024
1263,16/2/2024,48,Patagonia,38,5,3,Tarjeta de Débito,Completa,Atún enlatado,$6.21,Conservas,$31.05,febrero,2,viernes-02,Conservas - Tarjeta de Débito,2024
1479,16/2/2024,211,Centro,33,1,1,Efectivo,Completa,Papas chips,$8.54,Galletitas y Snacks,$8.54,febrero,2,viernes-02,Galletitas y Snacks - Efectivo,2024
2323,16/2/2024,98,Centro,25,3,3,Tarjeta de Débito,Completa,Pizza congelada,$15.45,Congelados,$46.35,febrero,2,viernes-02,Congelados - Tarjeta de Débito,2024
2362,16/2/2024,109,Cuyo,36,6,1,Efectivo,Completa,Lentejas,$3.25,Conservas,$19.50,febrero,2,viernes-02,Conservas - Efectivo,2024
2771,16/2/2024,39,Patagonia,7,2,3,Tarjeta de Débito,Completa,Chorizo,$11.25,Carnicería,$22.50,febrero,2,viernes-02,Carnicería - Tarjeta de Débito,2024
2937,16/2/2024,124,NEA,3,3,2,Tarjeta de Crédito,Completa,Queso cremoso,$17.23,Lácteos,$51.69,febrero,2,viernes-02,Lácteos - Tarjeta de Crédito,2024
207,17/2/2024,203,Buenos Aires,20,2,5,Transferencia,Completa,Lechugas,$4.25,Frutas y Verduras,$8.50,febrero,2,sábado-02,Frutas y Verduras - Transferencia,2024
297,17/2/2024,302,Patagonia,3,4,5,Transferencia,Pendiente,Queso cremoso,$17.23,Lácteos,$68.92,febrero,2,sábado-02,Lácteos - Transferencia,2024
386,17/2/2024,250,Centro,32,6,5,Transferencia,Pendiente,Galletitas de chocolate,$6.25,Galletitas y Snacks,$37.50,febrero,2,sábado-02,Galletitas y Snacks - Transferencia,2024
572,17/2/2024,95,Buenos Aires,18,5,1,Efectivo,Completa,Bananas,$7.25,Frutas y Verduras,$36.25,febrero,2,sábado-02,Frutas y Verduras - Efectivo,2024
812,17/2/2024,280,Centro,7,4,3,Tarjeta de Débito,Completa,Chorizo,$11.25,Carnicería,$45.00,febrero,2,sábado-02,Carnicería - Tarjeta de Débito,2024
1079,17/2/2024,8,Buenos Aires,31,6,3,Tarjeta de Débito,Completa,Galletitas de agua,$5.24,Galletitas y Snacks,$31.44,febrero,2,sábado-02,Galletitas y Snacks - Tarjeta de Débito,2024
1095,17/2/2024,326,Cuyo,2,5,5,Transferencia,Pendiente,Yogur,$5.21,Lácteos,$26.05,febrero,2,sábado-02,Lácteos - Transferencia,2024
1842,17/2/2024,224,Cuyo,29,2,1,Efectivo,Completa,Cerveza,$11.54,Bebidas,$23.08,febrero,2,sábado-02,Bebidas - Efectivo,2024
1863,17/2/2024,46,Centro,26,5,4,Mercado Pago,Completa,Hamburgesas congeladas,$9.54,Congelados,$47.70,febrero,2,sábado-02,Congelados - Mercado Pago,2024
2045,17/2/2024,97,Buenos Aires,8,3,4,Mercado Pago,Completa,Milanesa,$16.21,Carnicería,$48.63,febrero,2,sábado-02,Carnicería - Mercado Pago,2024
2375,17/2/2024,82,Buenos Aires,38,1,3,Tarjeta de Débito,Completa,Atún enlatado,$6.21,Conservas,$6.21,febrero,2,sábado-02,Conservas - Tarjeta de Débito,2024
2634,17/2/2024,31,Centro,15,6,5,Transferencia,Completa,Medialunas,$3.51,Panadería,$21.06,febrero,2,sábado-02,Panadería - Transferencia,2024
77,18/2/2024,320,Centro,27,2,3,Tarjeta de Débito,Completa,Agua mineral,$6.21,Bebidas,$12.42,febrero,2,domingo-02,Bebidas - Tarjeta de Débito,2024
131,18/2/2024,17,Buenos Aires,23,5,4,Mercado Pago,Completa,Papas fritas,$8.23,Congelados,$41.15,febrero,2,domingo-02,Congelados - Mercado Pago,2024
166,18/2/2024,25,Patagonia,13,5,5,Transferencia,Completa,Pan integral,$12.56,Panadería,$62.80,febrero,2,domingo-02,Panadería - Transferencia,2024
